id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon,new_lat,new_lon,new_province,lon_mclp,lat_mclp,province_mclp
15852.0,Appareil fixe-Vast apparaat,Krekelberg ,1.0,9040,Sint-amandsberg,Oost-vlaanderen,gelijkvloers - aan bureau directie,Non-Nee,Oui-Ja,,"Krekelberg , 9040 Sint-amandsberg, Oost-vlaanderen",51.0531098,3.7499182,50.698014,5.258768,Provincie Luik,4.63101,50.71533,Provincie Waals-Brabant
15853.0,Appareil fixe-Vast apparaat,Frederic sheidlaan,1.0,2620,Hemiksem,Antwerpen,"1. Aan de achterkant van het hoofdgebouw
2. Binnen aan de ingang van het expeditiegebouw",Non-Nee,Oui-Ja,,"Frederic sheidlaan, 2620 Hemiksem, Antwerpen",51.1370433,4.341369,51.04371,4.45465,Provincie Antwerpen,3.492304,51.127622,Provincie Oost-Vlaanderen
15854.0,Appareil fixe-Vast apparaat,Kardinaal cardijnlaan ,,2830,Willebroek,Antwerpen,Straatkant school St.-Jan Tisselt,Oui-Ja,Oui-Ja,,"Kardinaal cardijnlaan , 2830 Willebroek, Antwerpen",51.0342459,4.3522359,50.838277595,4.375474682722222,Brussels Hoofdstedelijk Gewest,5.02264,51.41825,Provincie Antwerpen
15855.0,Appareil fixe-Vast apparaat,Elfnovemberstraat,23.0,9030,Gent,Oost-vlaanderen,buitengevel,Oui-Ja,Oui-Ja,,"Elfnovemberstraat, 9030 Gent, Oost-vlaanderen",51.0727109,3.6775914,51.23461,4.64476,Provincie Antwerpen,5.61117,50.88798,Provincie Limburg
15856.0,Appareil fixe-Vast apparaat,Zandstraat,26.0,8434,Westende,West-vlaanderen,Ingang Voetbal,Oui-Ja,Oui-Ja,,"Zandstraat, 8434 Westende, West-vlaanderen",51.1562943,2.7781265,50.599055,3.389195,Provincie Henegouwen,4.912447,50.986301,Provincie Vlaams-Brabant
15857.0,Appareil fixe-Vast apparaat,Vaartdijk-zuid,17.0,8432,Leffinge,West-vlaanderen,"voetbalveld Leffinge, links aan de tribune",Oui-Ja,Oui-Ja,,"Vaartdijk-zuid, 8432 Leffinge, West-vlaanderen",51.1707118,2.8733021,51.0448476,3.7340512,Provincie Oost-Vlaanderen,4.38852,50.41622666666667,Provincie Henegouwen
15858.0,Appareil fixe-Vast apparaat,Slijpesteenweg,28.0,8432,Leffinge,West-vlaanderen,ingang sporthal De Barloke,Oui-Ja,Oui-Ja,,"Slijpesteenweg, 8432 Leffinge, West-vlaanderen",51.1626956,2.8637191,50.56354,3.9324,Provincie Henegouwen,4.499927,50.763593,Provincie Vlaams-Brabant
15859.0,Appareil fixe-Vast apparaat,Naalstraat,,2570,Duffel ,Antwerpen,Voordeur tennisclub,Oui-Ja,Oui-Ja,,"Naalstraat, 2570 Duffel , Antwerpen",51.0839324,4.5108936,51.2680825,4.5328425,Provincie Antwerpen,3.788364,51.22644,Provincie Oost-Vlaanderen
15860.0,Appareil fixe-Vast apparaat,Rue pietro ferrero,5.0,6700,Arlon,Luxembourg,,Oui-Ja,Non-Nee,,"Rue pietro ferrero, 6700 Arlon, Luxembourg",49.6745435,5.818557,50.727333,4.2917404999999995,Provincie Vlaams-Brabant,4.17182,50.3754,Provincie Henegouwen
15861.0,Appareil fixe-Vast apparaat,Rue pietro ferrero,5.0,6700,Arlon,Luxembourg,,Oui-Ja,Non-Nee,,"Rue pietro ferrero, 6700 Arlon, Luxembourg",49.6745435,5.818557,51.095556,5.78665,Provincie Limburg,3.6180025000000002,50.5982325,Provincie Henegouwen
